term	payoff	pct	lo	hi	p_increase
perceptual_noise_sd	78.47058823529412	0.0	0.0	0.0	0.0
perceptual_noise_sd	79.35294117647058	0.0	0.0	0.0	0.0
perceptual_noise_sd	80.23529411764706	0.0	0.0	0.0	0.0
perceptual_noise_sd	81.11764705882352	0.0	0.0	0.0	0.0
perceptual_noise_sd	82.0	0.0	0.0	0.0	0.0
perceptual_noise_sd	82.88235294117646	0.0	0.0	0.0	0.0
perceptual_noise_sd	83.76470588235294	0.0	0.0	0.0	0.0
perceptual_noise_sd	84.6470588235294	0.0	0.0	0.0	0.0
perceptual_noise_sd	85.52941176470588	0.0	0.0	0.0	0.0
perceptual_noise_sd	86.41176470588235	0.0	0.0	0.0	0.0
perceptual_noise_sd	87.29411764705883	0.0	0.0	0.0	0.0
perceptual_noise_sd	88.17647058823529	0.0	0.0	0.0	0.0
perceptual_noise_sd	89.05882352941177	0.0	0.0	0.0	0.0
perceptual_noise_sd	89.94117647058823	0.0	0.0	0.0	0.0
perceptual_noise_sd	90.82352941176471	0.0	0.0	0.0	0.0
perceptual_noise_sd	91.70588235294117	0.0	0.0	0.0	0.0
perceptual_noise_sd	92.58823529411764	0.0	0.0	0.0	0.0
perceptual_noise_sd	93.47058823529412	0.0	0.0	0.0	0.0
perceptual_noise_sd	94.35294117647058	0.0	0.0	0.0	0.0
perceptual_noise_sd	95.23529411764706	0.0	0.0	0.0	0.0
perceptual_noise_sd	96.11764705882352	0.0	0.0	0.0	0.0
perceptual_noise_sd	97.0	0.0	0.0	0.0	0.0
perceptual_noise_sd	97.88235294117646	0.0	0.0	0.0	0.0
perceptual_noise_sd	98.76470588235294	0.0	0.0	0.0	0.0
perceptual_noise_sd	99.6470588235294	0.0	0.0	0.0	0.0
perceptual_noise_sd	100.52941176470588	0.0	0.0	0.0	0.0
perceptual_noise_sd	101.41176470588235	0.0	0.0	0.0	0.0
perceptual_noise_sd	102.29411764705883	0.0	0.0	0.0	0.0
perceptual_noise_sd	103.17647058823529	0.0	0.0	0.0	0.0
perceptual_noise_sd	104.05882352941177	0.0	0.0	0.0	0.0
perceptual_noise_sd	104.94117647058823	0.0	0.0	0.0	0.0
perceptual_noise_sd	105.8235294117647	0.0	0.0	0.0	0.0
perceptual_noise_sd	106.70588235294117	0.0	0.0	0.0	0.0
perceptual_noise_sd	107.58823529411764	0.0	0.0	0.0	0.0
perceptual_noise_sd	108.47058823529412	0.0	0.0	0.0	0.0
perceptual_noise_sd	109.35294117647058	0.0	0.0	0.0	0.0
perceptual_noise_sd	110.23529411764706	0.0	0.0	0.0	0.0
perceptual_noise_sd	111.11764705882352	0.0	0.0	0.0	0.0
perceptual_noise_sd	112.0	0.0	0.0	0.0	0.0
