curve	stim	payoff	median	lo	hi
n1 (first)	vertex	9.987858862892699	0.18440353998906478	0.1604301402234587	0.20953506030901997
n1 (first)	vertex	10.723764501351814	0.18207990702415489	0.15835229746657256	0.20515365234898178
n1 (first)	vertex	11.513891681800072	0.17896852090130325	0.15538044120848157	0.20138874791054617
n1 (first)	vertex	12.36223544852308	0.1752833946496408	0.15285906210407874	0.197700591009782
n1 (first)	vertex	13.2730852007484	0.17098694824484548	0.14908450715138255	0.19257596971247143
n1 (first)	vertex	14.251046380723466	0.16609966637431484	0.14493348923609953	0.18686290465597796
n1 (first)	vertex	15.30106375977155	0.1606886940216664	0.14049733048559723	0.1805540551941967
n1 (first)	vertex	16.42844644006477	0.15498366247673634	0.1356545200930759	0.17378760468033563
n1 (first)	vertex	17.638894698528226	0.14901541791817813	0.13056028872979222	0.1668972627622202
n1 (first)	vertex	18.93852880860355	0.14303565801776785	0.12553466369206379	0.15984926720572376
n1 (first)	vertex	20.33391998560055	0.1373000091260445	0.12072105235034988	0.1529798581738987
n1 (first)	vertex	21.832123612102944	0.13177444579622888	0.11606853402647857	0.14648908688927129
n1 (first)	vertex	23.4407149114227	0.1264707505001891	0.11173567278923692	0.1403401986735096
n1 (first)	vertex	25.167827249475163	0.12140265416464815	0.10748447942536386	0.1345690938763159
n1 (first)	vertex	27.02219325873709	0.11662997355089691	0.1034349962777714	0.12906189790263145
n1 (first)	vertex	29.013188992218765	0.11213203825913834	0.09952200945286387	0.1237838440860853
n1 (first)	vertex	31.15088133070163	0.10780812342524403	0.09604660424537576	0.11884999027027156
n1 (first)	vertex	33.44607888294205	0.10359771203506113	0.09243758312380176	0.1141762663861067
n1 (first)	vertex	35.91038663620328	0.0996112310431235	0.08906002233335754	0.10959896422686455
n1 (first)	vertex	38.55626463343955	0.0957719862171934	0.0856168879395679	0.10533063863838302
n1 (first)	vertex	41.39709097381619	0.09202623713192021	0.0822729578867054	0.10113160997078098
n1 (first)	vertex	44.44722945510958	0.08841819614975988	0.07917111862546791	0.09703170226954642
n1 (first)	vertex	47.722102200000165	0.08490721846760185	0.07608677798208568	0.09308680821056729
n1 (first)	vertex	51.23826763347237	0.08143549549937097	0.07308406821103028	0.08921168377149416
n1 (first)	vertex	55.01350420559077	0.07816683249210296	0.0701294544167929	0.08561864938775542
