n_safe	n_risky	risky_first
10.0	40.0	False
28.0	112.0	False
20.0	63.0	False
10.0	31.0	False
20.0	63.0	False
7.0	9.0	False
10.0	25.0	False
14.0	22.0	False
7.0	22.0	False
10.0	12.0	True
28.0	89.0	True
10.0	16.0	True
10.0	12.0	True
10.0	20.0	True
10.0	25.0	True
14.0	35.0	True
28.0	36.0	True
28.0	36.0	True
28.0	71.0	True
7.0	14.0	True
20.0	25.0	True
14.0	56.0	True
28.0	45.0	True
14.0	44.0	True
28.0	89.0	True
14.0	56.0	True
28.0	56.0	True
10.0	25.0	True
7.0	9.0	True
10.0	25.0	False
14.0	28.0	False
7.0	14.0	False
14.0	22.0	False
14.0	18.0	False
14.0	18.0	False
7.0	17.0	False
7.0	11.0	False
7.0	22.0	False
28.0	71.0	False
20.0	63.0	True
28.0	112.0	True
10.0	16.0	True
7.0	17.0	True
20.0	50.0	True
7.0	14.0	True
14.0	28.0	True
20.0	80.0	True
10.0	31.0	True
14.0	28.0	True
14.0	28.0	False
28.0	56.0	False
20.0	50.0	False
20.0	25.0	False
10.0	12.0	False
7.0	9.0	False
28.0	45.0	False
28.0	36.0	False
20.0	63.0	False
10.0	40.0	False
20.0	32.0	False
28.0	71.0	False
20.0	25.0	False
14.0	44.0	False
10.0	16.0	False
10.0	25.0	False
20.0	40.0	False
10.0	20.0	False
7.0	22.0	False
7.0	28.0	False
7.0	17.0	True
7.0	22.0	True
28.0	112.0	True
14.0	35.0	True
7.0	11.0	True
10.0	31.0	True
14.0	18.0	True
20.0	25.0	True
20.0	63.0	True
20.0	50.0	True
10.0	40.0	False
28.0	56.0	False
20.0	63.0	False
7.0	11.0	False
14.0	22.0	False
28.0	36.0	False
10.0	12.0	False
28.0	45.0	False
7.0	28.0	False
10.0	31.0	False
10.0	20.0	True
28.0	56.0	True
20.0	40.0	True
14.0	22.0	True
28.0	89.0	True
20.0	32.0	True
10.0	25.0	True
10.0	16.0	True
28.0	36.0	True
28.0	45.0	True
20.0	50.0	False
14.0	44.0	False
20.0	32.0	False
20.0	80.0	False
14.0	35.0	False
28.0	112.0	False
7.0	14.0	False
14.0	35.0	False
20.0	40.0	False
28.0	89.0	False
7.0	28.0	True
28.0	71.0	True
7.0	9.0	True
7.0	22.0	True
10.0	12.0	True
7.0	11.0	True
14.0	22.0	True
7.0	28.0	True
20.0	80.0	True
14.0	35.0	True
14.0	44.0	True
20.0	32.0	True
28.0	71.0	True
10.0	40.0	True
14.0	18.0	True
10.0	40.0	True
20.0	40.0	True
10.0	12.0	True
10.0	20.0	True
28.0	36.0	True
14.0	56.0	False
10.0	16.0	False
28.0	112.0	False
7.0	9.0	False
10.0	20.0	False
7.0	17.0	False
10.0	31.0	False
28.0	89.0	False
14.0	56.0	False
20.0	80.0	False
28.0	59.0	True
14.0	24.0	True
20.0	30.0	True
7.0	12.0	True
14.0	26.0	True
20.0	34.0	True
20.0	47.0	True
10.0	26.0	True
10.0	17.0	True
7.0	12.0	True
10.0	26.0	False
20.0	47.0	False
10.0	15.0	False
7.0	13.0	False
7.0	18.0	False
10.0	19.0	False
28.0	66.0	False
28.0	59.0	False
20.0	47.0	False
7.0	12.0	False
10.0	21.0	False
14.0	24.0	False
14.0	29.0	False
14.0	24.0	False
20.0	52.0	False
14.0	26.0	False
28.0	59.0	False
7.0	16.0	False
28.0	43.0	False
20.0	34.0	False
7.0	16.0	True
7.0	13.0	True
10.0	17.0	True
20.0	38.0	True
14.0	33.0	True
14.0	29.0	True
20.0	30.0	True
14.0	29.0	True
7.0	16.0	True
7.0	18.0	True
10.0	23.0	True
14.0	21.0	True
7.0	14.0	True
10.0	21.0	True
14.0	24.0	True
14.0	21.0	True
14.0	36.0	True
28.0	66.0	True
10.0	26.0	True
10.0	19.0	True
7.0	16.0	False
14.0	36.0	False
20.0	42.0	False
10.0	26.0	False
14.0	21.0	False
7.0	14.0	False
7.0	10.0	False
7.0	10.0	False
28.0	43.0	False
28.0	48.0	False
14.0	33.0	False
28.0	53.0	False
10.0	19.0	False
28.0	53.0	False
14.0	36.0	False
28.0	66.0	False
28.0	48.0	False
10.0	23.0	False
10.0	17.0	False
7.0	13.0	False
14.0	33.0	True
7.0	10.0	True
14.0	36.0	True
28.0	43.0	True
10.0	19.0	True
28.0	48.0	True
7.0	13.0	True
10.0	15.0	True
10.0	23.0	True
20.0	47.0	True
10.0	15.0	True
20.0	42.0	True
20.0	52.0	True
7.0	18.0	True
20.0	52.0	True
28.0	73.0	True
20.0	42.0	True
28.0	66.0	True
14.0	26.0	True
28.0	59.0	True
20.0	34.0	False
7.0	12.0	False
20.0	38.0	False
10.0	17.0	False
14.0	29.0	False
14.0	33.0	False
20.0	30.0	False
7.0	18.0	False
20.0	30.0	False
10.0	15.0	False
28.0	53.0	True
28.0	73.0	True
28.0	53.0	True
20.0	34.0	True
28.0	43.0	True
7.0	14.0	True
7.0	10.0	True
28.0	48.0	True
20.0	38.0	True
10.0	21.0	True
20.0	52.0	False
10.0	23.0	False
20.0	38.0	False
10.0	21.0	False
28.0	73.0	False
20.0	42.0	False
28.0	73.0	False
7.0	14.0	False
14.0	21.0	False
14.0	26.0	False
28.0	43.0	True
10.0	21.0	True
28.0	73.0	True
20.0	47.0	True
28.0	48.0	True
20.0	34.0	True
10.0	15.0	True
14.0	29.0	True
28.0	59.0	True
10.0	17.0	True
20.0	42.0	False
20.0	42.0	False
7.0	14.0	False
28.0	66.0	False
28.0	59.0	False
28.0	73.0	False
14.0	36.0	False
20.0	30.0	False
10.0	15.0	False
14.0	21.0	False
28.0	48.0	False
10.0	17.0	False
10.0	17.0	False
28.0	43.0	False
20.0	38.0	False
10.0	23.0	False
10.0	19.0	False
10.0	21.0	False
28.0	53.0	False
20.0	38.0	False
14.0	33.0	True
14.0	36.0	True
7.0	18.0	True
20.0	52.0	True
28.0	53.0	True
20.0	52.0	True
7.0	10.0	True
20.0	38.0	True
10.0	15.0	True
14.0	21.0	True
7.0	18.0	True
7.0	16.0	True
10.0	19.0	True
14.0	29.0	True
7.0	14.0	True
20.0	34.0	True
10.0	23.0	True
7.0	12.0	True
10.0	21.0	True
10.0	19.0	True
14.0	24.0	False
7.0	10.0	False
14.0	33.0	False
28.0	59.0	False
20.0	34.0	False
7.0	13.0	False
10.0	23.0	False
28.0	53.0	False
20.0	30.0	False
14.0	21.0	False
10.0	21.0	False
20.0	47.0	False
20.0	52.0	False
7.0	13.0	False
10.0	26.0	False
20.0	47.0	False
28.0	73.0	False
7.0	16.0	False
28.0	48.0	False
14.0	24.0	False
7.0	12.0	True
20.0	30.0	True
28.0	53.0	True
28.0	59.0	True
14.0	26.0	True
14.0	26.0	True
10.0	26.0	True
20.0	47.0	True
20.0	30.0	True
10.0	23.0	True
7.0	16.0	True
7.0	13.0	True
14.0	24.0	True
28.0	66.0	True
10.0	17.0	True
7.0	10.0	True
7.0	14.0	True
7.0	13.0	True
28.0	43.0	True
10.0	26.0	True
28.0	43.0	False
7.0	18.0	False
14.0	29.0	False
20.0	34.0	False
10.0	26.0	False
7.0	14.0	False
14.0	26.0	False
28.0	66.0	False
7.0	12.0	False
7.0	16.0	False
20.0	52.0	False
14.0	33.0	False
14.0	36.0	False
7.0	10.0	False
10.0	19.0	False
14.0	29.0	False
7.0	12.0	False
10.0	15.0	False
7.0	18.0	False
14.0	26.0	False
14.0	21.0	True
14.0	24.0	True
20.0	42.0	True
14.0	33.0	True
20.0	38.0	True
28.0	48.0	True
28.0	73.0	True
28.0	66.0	True
20.0	42.0	True
14.0	36.0	True
7.0	12.0	False
7.0	10.0	False
7.0	14.0	False
14.0	45.0	False
14.0	21.0	False
14.0	25.0	False
14.0	45.0	False
7.0	19.0	False
28.0	67.0	False
7.0	12.0	False
20.0	31.0	True
14.0	39.0	True
7.0	16.0	True
10.0	15.0	True
20.0	64.0	True
10.0	32.0	True
28.0	43.0	True
14.0	39.0	True
7.0	22.0	True
10.0	15.0	True
20.0	56.0	True
10.0	24.0	True
28.0	67.0	True
28.0	78.0	True
7.0	12.0	True
20.0	48.0	True
14.0	29.0	True
28.0	58.0	True
20.0	48.0	True
28.0	90.0	True
10.0	24.0	False
14.0	29.0	False
10.0	20.0	False
10.0	24.0	False
28.0	67.0	False
28.0	43.0	False
20.0	36.0	False
20.0	31.0	False
14.0	39.0	False
28.0	50.0	False
7.0	10.0	True
7.0	19.0	True
28.0	58.0	True
28.0	43.0	True
10.0	28.0	True
28.0	90.0	True
10.0	20.0	True
7.0	19.0	True
28.0	50.0	True
14.0	21.0	True
10.0	15.0	False
20.0	64.0	False
20.0	64.0	False
28.0	43.0	False
10.0	28.0	False
20.0	48.0	False
10.0	18.0	False
28.0	78.0	False
20.0	48.0	False
28.0	58.0	False
20.0	31.0	True
28.0	67.0	True
7.0	12.0	True
7.0	10.0	True
14.0	25.0	True
14.0	25.0	True
10.0	18.0	True
20.0	41.0	True
7.0	14.0	True
20.0	36.0	True
7.0	16.0	False
7.0	22.0	False
7.0	22.0	False
28.0	78.0	False
20.0	31.0	False
14.0	33.0	False
7.0	14.0	False
10.0	32.0	False
10.0	20.0	False
10.0	18.0	False
28.0	90.0	False
10.0	28.0	False
10.0	32.0	False
20.0	56.0	False
28.0	90.0	False
14.0	33.0	False
20.0	36.0	False
28.0	50.0	False
14.0	25.0	False
10.0	15.0	False
14.0	45.0	True
10.0	18.0	True
10.0	32.0	True
20.0	56.0	True
10.0	24.0	True
14.0	21.0	True
14.0	33.0	True
7.0	16.0	True
10.0	20.0	True
28.0	78.0	True
14.0	39.0	False
7.0	10.0	False
7.0	19.0	False
7.0	16.0	False
28.0	58.0	False
20.0	56.0	False
20.0	41.0	False
20.0	41.0	False
14.0	21.0	False
14.0	29.0	False
14.0	33.0	True
14.0	29.0	True
7.0	14.0	True
7.0	22.0	True
20.0	36.0	True
20.0	64.0	True
14.0	45.0	True
20.0	41.0	True
28.0	50.0	True
10.0	28.0	True
20.0	64.0	True
28.0	67.0	True
20.0	48.0	True
28.0	50.0	True
28.0	43.0	True
7.0	19.0	True
28.0	78.0	True
20.0	56.0	True
28.0	78.0	True
28.0	58.0	True
14.0	33.0	False
14.0	25.0	False
28.0	43.0	False
7.0	22.0	False
28.0	67.0	False
14.0	39.0	False
28.0	50.0	False
7.0	16.0	False
28.0	50.0	False
10.0	18.0	False
10.0	28.0	False
28.0	90.0	False
10.0	20.0	False
20.0	48.0	False
20.0	64.0	False
14.0	45.0	False
28.0	43.0	False
20.0	41.0	False
20.0	36.0	False
10.0	32.0	False
14.0	29.0	True
7.0	12.0	True
10.0	24.0	True
7.0	16.0	True
14.0	39.0	True
7.0	19.0	True
10.0	20.0	True
20.0	48.0	True
7.0	10.0	True
20.0	56.0	True
7.0	14.0	True
14.0	39.0	True
28.0	90.0	True
7.0	12.0	True
28.0	58.0	True
10.0	18.0	True
10.0	28.0	True
14.0	25.0	True
14.0	29.0	True
14.0	45.0	True
20.0	36.0	False
28.0	78.0	False
7.0	12.0	False
28.0	78.0	False
14.0	25.0	False
14.0	33.0	False
7.0	19.0	False
20.0	31.0	False
14.0	29.0	False
7.0	22.0	False
7.0	14.0	False
20.0	56.0	False
28.0	58.0	False
10.0	15.0	False
10.0	24.0	False
10.0	20.0	False
10.0	24.0	False
14.0	21.0	False
7.0	16.0	False
7.0	14.0	True
20.0	31.0	True
28.0	90.0	True
10.0	32.0	True
10.0	15.0	True
7.0	22.0	True
20.0	41.0	True
14.0	21.0	True
28.0	43.0	True
14.0	25.0	True
20.0	64.0	True
20.0	36.0	True
10.0	20.0	True
14.0	33.0	True
10.0	18.0	True
20.0	31.0	True
14.0	21.0	True
7.0	16.0	True
10.0	15.0	True
14.0	45.0	True
14.0	45.0	False
28.0	90.0	False
14.0	29.0	False
7.0	10.0	False
20.0	56.0	False
28.0	67.0	False
20.0	48.0	False
20.0	41.0	False
7.0	14.0	False
7.0	12.0	False
28.0	58.0	False
20.0	31.0	False
20.0	64.0	False
7.0	19.0	False
14.0	39.0	False
10.0	15.0	False
7.0	10.0	False
14.0	21.0	False
10.0	28.0	False
10.0	32.0	False
20.0	36.0	True
7.0	10.0	True
20.0	41.0	True
14.0	33.0	True
10.0	32.0	True
28.0	66.0	False
7.0	18.0	False
7.0	13.0	False
28.0	83.0	False
20.0	59.0	False
14.0	41.0	False
10.0	33.0	False
20.0	47.0	False
7.0	14.0	False
10.0	18.0	False
20.0	37.0	True
7.0	18.0	True
14.0	46.0	True
7.0	14.0	True
20.0	59.0	True
28.0	83.0	True
10.0	21.0	True
20.0	42.0	True
7.0	16.0	True
28.0	74.0	True
7.0	16.0	True
10.0	29.0	True
10.0	18.0	True
20.0	42.0	True
28.0	83.0	True
10.0	33.0	True
28.0	66.0	True
7.0	13.0	True
20.0	59.0	True
7.0	18.0	True
28.0	59.0	False
10.0	29.0	False
10.0	21.0	False
7.0	23.0	False
10.0	26.0	False
20.0	42.0	False
20.0	53.0	False
14.0	33.0	False
28.0	53.0	False
20.0	47.0	False
10.0	33.0	True
20.0	47.0	True
14.0	37.0	True
20.0	66.0	True
14.0	41.0	True
14.0	33.0	True
10.0	21.0	True
20.0	53.0	True
7.0	13.0	True
28.0	92.0	True
20.0	66.0	False
28.0	53.0	False
7.0	18.0	False
10.0	18.0	False
14.0	29.0	False
7.0	20.0	False
20.0	66.0	False
14.0	37.0	False
14.0	41.0	False
14.0	29.0	False
28.0	74.0	True
20.0	47.0	True
28.0	59.0	True
7.0	23.0	True
14.0	33.0	True
7.0	14.0	True
7.0	23.0	True
14.0	29.0	True
20.0	66.0	True
10.0	26.0	True
28.0	66.0	False
7.0	23.0	False
14.0	33.0	False
14.0	46.0	False
20.0	59.0	False
10.0	29.0	False
14.0	26.0	False
10.0	23.0	False
14.0	26.0	False
10.0	26.0	False
14.0	46.0	True
28.0	66.0	True
7.0	20.0	True
10.0	23.0	True
10.0	26.0	True
14.0	26.0	True
28.0	92.0	True
28.0	53.0	True
7.0	20.0	True
10.0	18.0	True
20.0	37.0	False
20.0	37.0	False
10.0	23.0	False
28.0	74.0	False
10.0	33.0	False
28.0	59.0	False
28.0	74.0	False
14.0	37.0	False
28.0	92.0	False
7.0	13.0	False
7.0	20.0	False
28.0	83.0	False
14.0	46.0	False
7.0	16.0	False
10.0	21.0	False
20.0	42.0	False
7.0	14.0	False
28.0	92.0	False
7.0	16.0	False
20.0	53.0	False
20.0	53.0	True
28.0	53.0	True
14.0	37.0	True
14.0	41.0	True
10.0	29.0	True
14.0	26.0	True
14.0	29.0	True
28.0	59.0	True
20.0	37.0	True
10.0	23.0	True
10.0	33.0	True
10.0	26.0	True
10.0	21.0	True
14.0	37.0	True
28.0	83.0	True
10.0	29.0	True
28.0	53.0	True
20.0	42.0	True
20.0	53.0	True
7.0	20.0	True
28.0	83.0	False
20.0	37.0	False
14.0	46.0	False
14.0	29.0	False
10.0	29.0	False
14.0	33.0	False
28.0	66.0	False
7.0	16.0	False
28.0	53.0	False
7.0	13.0	False
20.0	66.0	False
10.0	26.0	False
28.0	74.0	False
7.0	23.0	False
10.0	33.0	False
28.0	74.0	False
28.0	53.0	False
28.0	92.0	False
7.0	16.0	False
14.0	37.0	False
20.0	47.0	True
14.0	41.0	True
20.0	66.0	True
10.0	18.0	True
20.0	66.0	True
28.0	92.0	True
14.0	33.0	True
28.0	53.0	True
14.0	46.0	True
28.0	83.0	True
28.0	66.0	False
10.0	18.0	False
20.0	59.0	False
7.0	20.0	False
10.0	29.0	False
10.0	26.0	False
10.0	23.0	False
20.0	42.0	False
7.0	20.0	False
10.0	21.0	False
7.0	16.0	True
28.0	59.0	True
10.0	33.0	True
10.0	26.0	True
20.0	59.0	True
28.0	74.0	True
10.0	18.0	True
20.0	42.0	True
7.0	13.0	True
7.0	23.0	True
10.0	23.0	True
28.0	66.0	True
10.0	29.0	True
14.0	29.0	True
28.0	59.0	True
20.0	47.0	True
14.0	46.0	True
10.0	23.0	True
20.0	53.0	True
7.0	18.0	True
20.0	53.0	False
10.0	18.0	False
20.0	37.0	False
14.0	41.0	False
14.0	41.0	False
14.0	26.0	False
14.0	33.0	False
14.0	29.0	False
7.0	18.0	False
20.0	47.0	False
28.0	92.0	True
20.0	37.0	True
14.0	26.0	True
20.0	37.0	True
28.0	74.0	True
14.0	29.0	True
14.0	33.0	True
14.0	37.0	True
7.0	14.0	True
28.0	66.0	True
20.0	53.0	False
10.0	21.0	False
14.0	37.0	False
28.0	92.0	False
7.0	13.0	False
10.0	23.0	False
20.0	59.0	False
28.0	59.0	False
14.0	26.0	False
28.0	83.0	False
7.0	13.0	True
7.0	18.0	True
10.0	21.0	True
14.0	26.0	True
7.0	20.0	True
7.0	23.0	True
14.0	41.0	True
7.0	16.0	True
7.0	14.0	True
20.0	59.0	True
7.0	23.0	False
7.0	14.0	False
20.0	47.0	False
10.0	33.0	False
7.0	18.0	False
20.0	42.0	False
7.0	14.0	False
28.0	59.0	False
20.0	66.0	False
14.0	46.0	False
14.0	34.0	False
20.0	62.0	False
7.0	10.0	False
20.0	80.0	False
28.0	69.0	False
10.0	12.0	False
10.0	40.0	False
20.0	38.0	False
28.0	33.0	False
7.0	28.0	False
14.0	16.0	True
10.0	12.0	True
20.0	62.0	True
20.0	38.0	True
10.0	24.0	True
20.0	30.0	True
14.0	56.0	True
10.0	15.0	True
28.0	33.0	True
20.0	24.0	True
20.0	62.0	False
14.0	56.0	False
28.0	112.0	False
28.0	54.0	False
28.0	88.0	False
14.0	21.0	False
10.0	31.0	False
7.0	22.0	False
28.0	42.0	False
20.0	30.0	False
10.0	31.0	True
14.0	34.0	True
7.0	17.0	True
20.0	49.0	True
10.0	40.0	True
10.0	15.0	True
7.0	13.0	True
14.0	56.0	True
10.0	12.0	True
14.0	44.0	True
20.0	30.0	True
20.0	80.0	True
20.0	49.0	True
10.0	40.0	True
28.0	33.0	True
7.0	28.0	True
28.0	42.0	True
14.0	44.0	True
7.0	10.0	True
28.0	88.0	True
7.0	17.0	False
20.0	80.0	False
7.0	8.0	False
7.0	13.0	False
28.0	88.0	False
14.0	34.0	False
10.0	24.0	False
28.0	69.0	False
7.0	28.0	False
28.0	112.0	False
20.0	24.0	False
28.0	42.0	False
10.0	19.0	False
14.0	44.0	False
10.0	15.0	False
28.0	33.0	False
20.0	49.0	False
7.0	22.0	False
14.0	56.0	False
14.0	44.0	False
14.0	21.0	True
28.0	69.0	True
7.0	17.0	True
28.0	54.0	True
7.0	8.0	True
28.0	112.0	True
7.0	8.0	True
7.0	13.0	True
28.0	42.0	True
7.0	28.0	True
20.0	24.0	True
7.0	10.0	True
20.0	62.0	True
7.0	22.0	True
20.0	80.0	True
14.0	27.0	True
10.0	19.0	True
14.0	16.0	True
10.0	31.0	True
28.0	88.0	True
14.0	27.0	False
10.0	12.0	False
20.0	24.0	False
10.0	40.0	False
14.0	27.0	False
14.0	16.0	False
20.0	30.0	False
28.0	54.0	False
10.0	19.0	False
14.0	21.0	False
14.0	21.0	True
10.0	19.0	True
20.0	38.0	True
14.0	27.0	True
28.0	69.0	True
14.0	34.0	True
10.0	24.0	True
28.0	112.0	True
7.0	22.0	True
28.0	54.0	True
14.0	16.0	False
7.0	8.0	False
10.0	24.0	False
7.0	17.0	False
10.0	15.0	False
20.0	38.0	False
10.0	31.0	False
20.0	49.0	False
7.0	10.0	False
7.0	13.0	False
20.0	49.0	False
14.0	34.0	False
7.0	28.0	False
10.0	31.0	False
10.0	19.0	False
28.0	112.0	False
10.0	40.0	False
28.0	88.0	False
14.0	16.0	False
10.0	19.0	False
20.0	62.0	True
14.0	34.0	True
28.0	54.0	True
14.0	56.0	True
10.0	15.0	True
28.0	88.0	True
20.0	80.0	True
20.0	24.0	True
7.0	22.0	True
10.0	40.0	True
20.0	62.0	False
10.0	12.0	False
7.0	8.0	False
7.0	28.0	False
20.0	24.0	False
28.0	69.0	False
20.0	62.0	False
10.0	40.0	False
10.0	15.0	False
28.0	88.0	False
10.0	31.0	True
7.0	13.0	True
10.0	15.0	True
7.0	10.0	True
28.0	42.0	True
28.0	69.0	True
14.0	16.0	True
28.0	112.0	True
14.0	56.0	True
20.0	30.0	True
20.0	24.0	True
10.0	24.0	True
7.0	28.0	True
14.0	27.0	True
10.0	19.0	True
14.0	34.0	True
10.0	19.0	True
7.0	13.0	True
10.0	24.0	True
20.0	62.0	True
14.0	27.0	False
20.0	38.0	False
14.0	44.0	False
14.0	44.0	False
14.0	21.0	False
28.0	112.0	False
10.0	31.0	False
28.0	33.0	False
28.0	54.0	False
28.0	42.0	False
10.0	12.0	False
7.0	17.0	False
14.0	56.0	False
7.0	13.0	False
28.0	69.0	False
14.0	21.0	False
14.0	16.0	False
7.0	13.0	False
28.0	42.0	False
14.0	34.0	False
10.0	31.0	True
28.0	54.0	True
7.0	10.0	True
10.0	12.0	True
7.0	28.0	True
10.0	40.0	True
20.0	30.0	True
20.0	38.0	True
7.0	8.0	True
20.0	38.0	True
14.0	27.0	False
7.0	22.0	False
10.0	24.0	False
28.0	33.0	False
14.0	56.0	False
7.0	10.0	False
28.0	54.0	False
7.0	17.0	False
10.0	24.0	False
7.0	8.0	False
28.0	69.0	True
7.0	8.0	True
