label	order	stake_grp	rung	stim	model	lo	hi	observed	observed_sem	frac	stake_chf	n_safe_chf
log-power+weber-null.mapjitter.klw	Risky first	0	1	ips	0.3322571428571428	0.2746369047619048	0.3900535714285714	0.3007142857142857	0.04903524360477354	1.5257142857142856	13.846666666666666	11.035555555555556
log-power+weber-null.mapjitter.klw	Risky first	0	1	vertex	0.3347991496598639	0.2714736394557823	0.4013078231292517	0.3181972789115646	0.05002225565178187	1.527162075592569	13.845291479820627	11.026905829596412
log-power+weber-null.mapjitter.klw	Risky first	0	2	ips	0.4320571428571428	0.3733095238095238	0.4885952380952381	0.40476190476190477	0.044870242575685435	1.7592219986586184	14.23943661971831	10.300469483568076
log-power+weber-null.mapjitter.klw	Risky first	0	2	vertex	0.4317047619047619	0.3695	0.5010238095238094	0.3980952380952381	0.04994755152318544	1.7587677725118485	14.281990521327014	10.33175355450237
log-power+weber-null.mapjitter.klw	Risky first	0	3	ips	0.5392244047619047	0.4735654761904762	0.6004880952380952	0.5895238095238096	0.03555013630836433	2.0353419092755587	15.687203791469194	10.317535545023697
log-power+weber-null.mapjitter.klw	Risky first	0	3	vertex	0.5419702380952381	0.4792619047619047	0.6054880952380952	0.4926190476190476	0.04747938201668883	2.0378673957621327	15.705741626794259	10.320574162679426
log-power+weber-null.mapjitter.klw	Risky first	0	4	ips	0.6639607142857143	0.5885476190476191	0.7285952380952381	0.6985714285714285	0.05027641349348792	2.3335365853658536	15.585365853658537	9.371951219512194
log-power+weber-null.mapjitter.klw	Risky first	0	4	vertex	0.6625404761904761	0.595702380952381	0.7357142857142858	0.6847619047619047	0.05185796981126925	2.335008818342152	15.546296296296296	9.339506172839506
log-power+weber-null.mapjitter.klw	Risky first	0	5	ips	0.7513749999999999	0.6785714285714286	0.8142857142857143	0.7428571428571429	0.050715173385532365	2.727536231884058	15.876811594202898	8.521739130434783
log-power+weber-null.mapjitter.klw	Risky first	0	5	vertex	0.7491547619047619	0.6761904761904762	0.8142857142857143	0.8261904761904763	0.0382524766185622	2.7294117647058824	15.845588235294118	8.5
log-power+weber-null.mapjitter.klw	Risky first	0	6	ips	0.8282475490196077	0.7573529411764706	0.8970588235294118	0.8872549019607844	0.03721500819271473	3.1692396313364055	17.431451612903224	8.379032258064516
log-power+weber-null.mapjitter.klw	Risky first	0	6	vertex	0.827199754901961	0.7670343137254901	0.8872549019607844	0.8676470588235294	0.03839948293140393	3.148847926267281	17.33467741935484	8.379032258064516
log-power+weber-null.mapjitter.klw	Risky first	1	1	ips	0.2703928571428571	0.2	0.34285714285714286	0.19285714285714287	0.03980745977252777	1.6215437788018434	32.04032258064516	24.516129032258064
log-power+weber-null.mapjitter.klw	Risky first	1	1	vertex	0.26808928571428575	0.2	0.34285714285714286	0.19285714285714287	0.03980745977252777	1.6215437788018434	32.04032258064516	24.516129032258064
log-power+weber-null.mapjitter.klw	Risky first	1	2	ips	0.34078571428571425	0.2714285714285714	0.4142857142857143	0.29285714285714287	0.050715173385532365	1.8003061224489796	33.607142857142854	24.0
